FIPS,COUNTY,STATE,ST_ABBR,ses_EP_POV,ses_EP_UNEMP,ses_EP_PCI,ses_EP_NOHSDP,ses_EP_UNINSUR,ms_EP_MINRTY,ms_EP_LIMENG,hh_EP_AGE17,hh_EP_DISABL,hh_EP_SNGPNT,hh_EP_MUNIT,hh_EP_MOBILE,hh_EP_CROWD,hh_EP_NOVEH,hh_EP_GROUPQ,hh_EP_PLUMB,pm_EP_AGE65,hc_icu_capita,hc_hosp_beds_capita,hc_pqi,hc_emer_services_capita,hc_epi_capita,hc_health_labs_capita,hc_spend_capita,hc_PHEP_capita,hr_incarcerated_per_100k,hr_all_care_residents_per_100k,hr_high_risk_employees_per_100k,pd_population_density,V3_THEME1,V3_THEME2,V3_THEME3,V3_THEME4,V3_THEME5,V3_THEME6,V3_THEME7,V3_CCVI
35039,Rio Arriba,NEW MEXICO,NM,16,6,27036,13.8,10.6,87.5,2.1,23.7,16.1,10.7,0.3,38.8,2.1,6.2,1.7,2.420028885,18,20.2762641,177.7100787,3277,1.864437246,122,0.047691061,14429,3.1658,269.6720686,0,2254.051441,6.7066844,0.684177014,0.926774912,0.780961477,0.181152499,0.378541866,0.05603311,0.139446036,0.371537727
1001,Autauga,ALABAMA,AL,15.4,4.2,29372,11.3,7.1,25,0.8,24.2,19.3,7.5,3.8,18.4,1.4,5.6,1,1.195652174,14.6,10.90195508,149.37701,6563,2.051498353,30,0.020394907,14560,1.8466,630.4347826,489.1304348,2768.115942,92.85996704,0.405921681,0.594715059,0.541865648,0.737026425,0.958930277,0.418019739,0.700095511,0.752944922
1009,Blount,ALABAMA,AL,14.4,4.1,22656,19.8,11,12.9,1.7,23.4,14.2,7,0.9,25.2,1.6,4.2,0.9,1.401682713,17.8,10.40456414,69.00001725,4469,2.051498353,30,0.020394907,14560,1.8466,414.6066441,553.3871108,2982.045277,89.39559087,0.46895893,0.591531359,0.206940465,0.674307545,0.888252149,0.347659981,0.692454632,0.604266157
1013,Butler,ALABAMA,AL,23.5,6.7,20430,15.4,10.2,48.1,0.5,22.8,17.7,10.5,1.3,26.2,1.8,7.8,1.6,9.548064919,19,34.78088045,352.1471192,8959,2.051498353,30,0.020394907,14560,1.8466,1133.583021,1063.670412,4604.244694,25.77756858,0.694046482,0.64469914,0.885705189,0.910538045,0.818210761,0.977077364,0.346704871,0.966252786
1015,Calhoun,ALABAMA,AL,18.6,8.8,24706,15.9,9.4,27.5,1,21.9,20.8,10.4,3.7,14.7,1.7,5.8,2.7,1.05996629,16.8,20.77436443,416.366814,6564,2.051498353,30,0.020394907,14560,1.8466,1086.899859,680.28984,6371.09246,189.9723079,0.82362305,0.650429799,0.753581662,0.719516078,0.780006367,0.937281121,0.82075772,0.984399873
1017,Chambers,ALABAMA,AL,16.6,5,22827,18.6,10.8,44.2,0.1,20.7,16.7,9.7,4,14,3,7.3,1.5,2.495122095,18.9,0,334.7304692,5078,2.051498353,30,0.020394907,14560,1.8466,1031.750724,854.3723763,5921.480518,56.70169562,0.582617001,0.459726202,0.794651385,0.972620185,0.780324737,0.965616046,0.573384273,0.94078319
1031,Coffee,ALABAMA,AL,15.1,5.9,27577,13.8,10.1,29.4,1.4,23.7,17.7,9.7,0.9,13.6,1.4,6,1.2,1.77819373,16.3,13.70587199,252.3647152,5014,2.051498353,30,0.020394907,14560,1.8466,639.525815,647.3249103,8565.356419,75.5361871,0.64915632,0.725883477,0.489652977,0.602037568,0.835721108,0.848455906,0.650429799,0.871696912
1033,Colbert,ALABAMA,AL,16.3,5.9,24918,15.6,8.1,21.3,0.3,21.3,18.7,8.2,2.2,9.3,0.4,6.1,0.8,3.723277365,19.3,40.41517406,655.1991769,6401,2.051498353,30,0.020394907,14560,1.8466,667.9511882,506.4684833,8057.619965,91.93671616,0.568608723,0.397007323,0.333970073,0.748487743,0.581661891,0.774275708,0.697866921,0.677172875
1039,Covington,ALABAMA,AL,18.3,8.7,23071,17.1,11.2,16.6,0.4,21.9,20.9,9,1.3,21.6,2.1,5.2,1.8,2.928971112,20.5,34.64911112,496.8383017,8958,2.051498353,30,0.020394907,14560,1.8466,1601.028085,570.2658563,3475.141228,36.24354046,0.838586437,0.394141993,0.724609997,0.9417383,0.730977396,0.809933142,0.436485196,0.891435848
1043,Cullman,ALABAMA,AL,15.8,5.5,22980,18.2,11.8,7.9,0.6,22.6,17.6,6.7,2.5,22.9,1.8,4.2,1.5,1.665593527,18,14.68734318,172.0190289,6443,2.051498353,30,0.020394907,14560,1.8466,804.2472028,828.5447013,7520.075808,112.0239616,0.631645973,0.330149634,0.435530086,0.619229545,0.921680993,0.951607768,0.744348933,0.826806749
1045,Dale,ALABAMA,AL,18.4,8.8,23837,14.2,11.4,31,1,23.4,21.3,8.2,1.2,18.2,1.7,5.5,2.6,2.322606842,16.1,12.14747029,176.3598534,5217,2.051498353,30,0.020394907,14560,1.8466,499.441681,466.9576693,3370.216222,87.78282808,0.814708691,0.677172875,0.715377268,0.655842089,0.905762496,0.392550143,0.687679083,0.88443171
1051,Elmore,ALABAMA,AL,12.3,6.2,27475,13.6,8.2,26.8,0.7,22.5,17.9,9.2,2.6,15.1,1.4,4.7,5.4,0.791754913,14.5,6.173677907,165.3645209,6237,2.051498353,30,0.020394907,14560,1.8466,730.187657,300.4482096,2965.079052,131.3161812,0.508755174,0.581025151,0.579751671,0.7055078,0.964024196,0.361986628,0.76536135,0.784145177
1055,Etowah,ALABAMA,AL,17.3,6.5,24065,15.5,10.4,21.9,1.2,21.6,19.6,8.9,3.1,11,1.2,6.3,1.3,0.995735338,18.3,54.29934453,651.6397821,7278,2.051498353,30,0.020394907,14560,1.8466,1364.886,834.474786,6157.044463,192.3081158,0.700095511,0.639605221,0.417701369,0.7669532,0.678127985,0.981852913,0.82266794,0.920725883
1067,Henry,ALABAMA,AL,13.5,6.7,24069,19.8,11.4,31.1,0.3,20.9,18.7,7.1,0.8,25.9,0.8,5.5,1.8,5.518570427,21.6,0,0,4943,2.051498353,30,0.020394907,14560,1.8466,858.4442887,782.5274469,1570.894651,30.48330684,0.701368991,0.472461,0.449856734,0.972938555,0.849411016,0.554600446,0.388411334,0.76281439
1069,Houston,ALABAMA,AL,18.3,7,25990,14.3,10.4,33.1,0.6,23.4,17.8,10.4,5.1,13.7,1.2,6.2,0.9,2.012419503,16.9,63.39570446,701.020437,4927,2.051498353,30,0.020394907,14560,1.8466,1309.989267,583.6016559,5369.326894,179.9578678,0.781598217,0.594078319,0.671760586,0.809933142,0.604902897,0.901305317,0.814071952,0.951926138
