,X1,DistrictNCES,FIPS,NAME,NMCBSA,CBSA,CSA,COUNTY,STATE,ST_ABBR,ses_EP_POV,ses_EP_UNEMP,ses_EP_PCI,ses_EP_NOHSDP,ses_EP_UNINSUR,ms_EP_MINRTY,ms_EP_LIMENG,hh_EP_AGE17,hh_EP_DISABL,hh_EP_SNGPNT,hh_EP_MUNIT,hh_EP_MOBILE,hh_EP_CROWD,hh_EP_NOVEH,hh_EP_GROUPQ,hh_EP_PLUMB,pm_EP_AGE65,hc_icu_capita,hc_hosp_beds_capita,hc_pqi,hc_emer_services_capita,hc_epi_capita,hc_health_labs_capita,hc_spend_capita,hc_PHEP_capita,hr_incarcerated_per_100k,hr_all_care_residents_per_100k,hr_high_risk_employees_per_100k,pd_population_density,V3_THEME1,V3_THEME2,V3_THEME3,V3_THEME4,V3_THEME5,V3_THEME6,V3_THEME7,V3_CCVI,SchoolYear,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate,school_inperson,total,status_county
1,2,100005,1095,Albertville City,"Albertville, AL",10700,N,Marshall,ALABAMA,AL,21.7,5.1,23833,19.1,13.1,18.8,4,24.9,15.5,9.2,1.6,14.8,2.6,4.8,1.1,0.939618477,16.8,21.11085309,157.7005162,6183,2.051498353,30,0.020394907,14560,1.8466,611.6979347,696.8311525,14229.85969,168.1468187,0.803565743,0.770773639,0.490608087,0.544094238,0.922317733,0.889843999,0.807067813,0.961158867,2020-2021,899928,Albertville City School System,Public,Albertville,AL,4995,2020-08-24,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,10/2/2020,1,4,1
2,3,100006,1095,Marshall County,"Albertville, AL",10700,N,Marshall,ALABAMA,AL,21.7,5.1,23833,19.1,13.1,18.8,4,24.9,15.5,9.2,1.6,14.8,2.6,4.8,1.1,0.939618477,16.8,21.11085309,157.7005162,6183,2.051498353,30,0.020394907,14560,1.8466,611.6979347,696.8311525,14229.85969,168.1468187,0.803565743,0.770773639,0.490608087,0.544094238,0.922317733,0.889843999,0.807067813,0.961158867,2020-2021,899935,Marshall County School District,Public,Guntersville,AL,6259,2020-08-20,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,1/13/2021,0,4,1
3,4,100007,1073,Hoover City,"Birmingham-Hoover, AL",13820,142,Jefferson,ALABAMA,AL,17,7.3,30657,10.3,9.5,49.9,1.2,23,15.5,10.4,13.8,2.9,1.5,7.7,2.4,1.60405036,15,71.4220726,687.4810817,4669,2.051498353,30,0.020394907,14560,1.8466,788.0077346,676.4743322,3967.922024,593.7584838,0.758038841,0.809933142,0.720152818,0.560967845,0.624960204,0.771728749,0.929640242,0.951289398,2020-2021,899960,Hoover City Schools,Public,Birmingham,AL,14108,2020-08-21,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,1/14/2021,1,8,1
4,5,100008,1089,Madison City,"Huntsville, AL",26620,290,Madison,ALABAMA,AL,13.2,5.8,35526,8.9,8.9,35.1,1.1,22.1,13.1,8.1,10.2,4.4,1.3,4.9,2.5,0.539489876,14.3,28.31152874,332.4176647,5456,2.051498353,30,0.020394907,14560,1.8466,690.2338069,514.5989484,6365.08558,446.0673605,0.53231455,0.722063037,0.249920408,0.444444444,0.811524992,0.750079592,0.909264565,0.771410379,2020-2021,4367188,Madison City School District,Public,Madison,AL,11012,2020-12-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,1/11/2021,1,3,1
5,6,100009,1121,Al Inst Deaf And Blind,"Talladega-Sylacauga, AL",45180,142,Talladega,ALABAMA,AL,19.9,8.8,22498,19,9.3,37.1,0.5,21.5,19.3,10.4,2.3,23.6,1.3,7.9,4.2,2.921864333,17.1,17.3078825,350.2088965,5598,2.051498353,30,0.020394907,14560,1.8466,1061.254887,570.9675417,11007.26122,109.3471605,0.820120981,0.58866603,0.891754218,0.775549188,0.789875836,0.936644381,0.738618274,0.988538682,2020-2021,107518193,Alabama Institute For Deaf and Blind,Public,Talladega,AL,396,2020-09-08,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Pending,Pending,Pending,Yes,12/30/2020,1,3,1
6,7,100011,1073,Leeds City,"Birmingham-Hoover, AL",13820,142,Jefferson,ALABAMA,AL,17,7.3,30657,10.3,9.5,49.9,1.2,23,15.5,10.4,13.8,2.9,1.5,7.7,2.4,1.60405036,15,71.4220726,687.4810817,4669,2.051498353,30,0.020394907,14560,1.8466,788.0077346,676.4743322,3967.922024,593.7584838,0.758038841,0.809933142,0.720152818,0.560967845,0.624960204,0.771728749,0.929640242,0.951289398,2020-2021,26487084,Leeds City Schools,Public,Leeds,AL,1779,2020-08-28,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Unknown,Never closed,Yes,9/16/2020,1,8,1
7,8,100012,1095,Boaz City,"Albertville, AL",10700,N,Marshall,ALABAMA,AL,21.7,5.1,23833,19.1,13.1,18.8,4,24.9,15.5,9.2,1.6,14.8,2.6,4.8,1.1,0.939618477,16.8,21.11085309,157.7005162,6183,2.051498353,30,0.020394907,14560,1.8466,611.6979347,696.8311525,14229.85969,168.1468187,0.803565743,0.770773639,0.490608087,0.544094238,0.922317733,0.889843999,0.807067813,0.961158867,2020-2021,29489616,Boaz City School System,Public,Boaz,AL,2426,2020-08-20,On Premises,Unknown,Unknown,Yes,Yes,Unknown,Required for high school students only,Yes,Yes,Unknown,Yes,11/4/2020,1,4,1
8,12,100018,1073,Alabama School of Fine Arts,"Birmingham-Hoover, AL",13820,142,Jefferson,ALABAMA,AL,17,7.3,30657,10.3,9.5,49.9,1.2,23,15.5,10.4,13.8,2.9,1.5,7.7,2.4,1.60405036,15,71.4220726,687.4810817,4669,2.051498353,30,0.020394907,14560,1.8466,788.0077346,676.4743322,3967.922024,593.7584838,0.758038841,0.809933142,0.720152818,0.560967845,0.624960204,0.771728749,0.929640242,0.951289398,2020-2021,107518251,Alabama School of Fine Arts District Ofc,Public,Birmingham,AL,350,2020-09-21,Hybrid,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,1/27/2021,1,8,1
9,14,100020,1007,Boyd School,"Birmingham-Hoover, AL",13820,142,Bibb,ALABAMA,AL,14,7.5,20199,16.8,7.9,25.4,0.3,20.7,16.7,6,2.4,28.5,0.8,6,9.3,6.31242509,16.3,0,152.1540669,5627,2.051498353,30,0.020394907,14560,1.8466,559.3288054,408.3988103,2588.005505,36.19021399,0.474371219,0.432346387,0.658070678,0.721107927,0.965297676,0.288761541,0.435848456,0.635148042,2020-2021,107518344,The Boyd School,Public,Green Pond,AL,10,2020-08-19,Hybrid,No,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,No,Unknown,Yes,12/1/2020,1,2,1
10,15,100021,1125,BrewerPorch Childrens Center,"Tuscaloosa, AL",46220,N,Tuscaloosa,ALABAMA,AL,17.4,6.3,26064,11.6,7.5,38,0.9,20.9,12,10.7,15.9,9.8,1.6,5.8,5,1.354424794,12.5,41.09106563,292.4588418,5844,2.051498353,30,0.020394907,14560,1.8466,729.9879251,625.0818329,8460.669308,156.1204328,0.544412607,0.7086915,0.643107291,0.260108246,0.896529768,0.876472461,0.794014645,0.851002865,2020-2021,107518272,Brewer-Porch Childrens Center Dist Ofc,Public,Tuscaloosa,AL,40,2020-08-21,On Premises,No,No,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Yes,11/30/2020,1,2,1
11,16,100022,1079,Sequel TSI Courtland LLC,"Decatur, AL",19460,290,Lawrence,ALABAMA,AL,16.8,5.7,23557,21,8.2,23.5,0.2,21.8,20.5,7.3,0.8,22.5,1.5,5.5,0.7,4.250700913,17.4,18.02451334,290.1124926,7397,2.051498353,30,0.020394907,14560,1.8466,916.4631757,298.4534684,2176.600042,48.02629994,0.614772365,0.372492837,0.443807705,0.827761859,0.853231455,0.325692455,0.525628781,0.630690863,2020-2021,107836865,Sequel Tsi Courtland LLC,Public,Courtland,AL,45,2020-08-10,On Premises,No,No,No,No,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,No,1/4/2021,1,1,1
12,18,100024,1089,Sequel TSI New Beginnings LLC,"Huntsville, AL",26620,290,Madison,ALABAMA,AL,13.2,5.8,35526,8.9,8.9,35.1,1.1,22.1,13.1,8.1,10.2,4.4,1.3,4.9,2.5,0.539489876,14.3,28.31152874,332.4176647,5456,2.051498353,30,0.020394907,14560,1.8466,690.2338069,514.5989484,6365.08558,446.0673605,0.53231455,0.722063037,0.249920408,0.444444444,0.811524992,0.750079592,0.909264565,0.771410379,2020-2021,107836871,Sequel Tsi Tuskegee LLC,Public,Tuskegee,AL,41,2020-08-28,On Premises,No,Unknown,No,No,Required for all staff,Required for all students,Yes,Yes,Never closed,No,12/1/2020,1,3,1
